UserID,Age,NumberOfPeople,BookingDay,BookingMonth,CheckInDay,CheckInMonth,NumberOfDaysFromBooking,NumberOfDaysOfStay,LocationOfHotel,TravellerLocation,HotelType,TravelType,Price
354,57,4,6,3,1,3,2,6,5,1,2,1,6144
543,54,3,1,7,2,7,1,18,2,7,4,1,2512
123,39,2,7,3,5,3,19,15,7,6,2,2,5397
362,70,1,3,9,2,10,13,13,2,1,2,2,1589
267,64,3,4,5,1,5,25,5,4,6,2,2,5005
354,47,3,7,6,1,6,15,29,2,6,2,2,6291
883,65,1,1,3,7,4,20,26,6,1,1,2,1395
712,45,3,5,8,7,8,2,21,4,7,2,1,1216
123,31,4,5,5,7,5,2,30,5,1,1,1,4892
883,68,1,6,8,4,8,5,19,6,4,3,2,1246
712,33,2,6,4,2,4,10,14,3,1,1,1,1221
362,25,3,2,7,2,8,14,4,1,6,4,2,2311
123,22,3,7,1,2,1,16,30,3,5,1,2,4905
552,30,4,1,10,2,10,15,22,2,2,4,2,697
267,23,1,6,3,6,3,7,13,2,2,1,1,5547
354,24,2,6,9,2,9,24,21,7,7,3,2,7259
712,39,3,6,8,2,8,24,8,5,4,1,1,1406
123,47,3,1,4,3,5,30,26,4,3,4,1,5055
883,21,4,3,6,6,6,17,23,4,1,3,1,1621
362,42,2,6,8,7,9,22,6,1,2,3,1,1994
361,69,1,1,4,7,4,6,5,4,1,3,1,11071
552,53,3,2,12,6,12,4,1,5,4,4,2,910
354,57,3,4,8,7,8,3,24,1,2,2,2,7634
712,70,2,7,8,3,9,17,3,7,1,1,2,1161
982,35,1,6,11,6,11,21,11,4,7,3,1,4420
552,32,2,6,10,7,10,8,1,1,1,3,1,839
543,66,1,2,2,6,3,25,15,5,2,1,2,2577
123,63,3,6,12,7,12,1,22,3,3,4,2,4824
982,67,1,5,1,5,2,28,23,5,7,4,2,3328
982,37,1,6,4,6,4,7,21,6,6,3,2,3364
543,57,4,3,5,6,6,24,26,1,5,2,2,2140
552,41,4,2,5,3,5,1,18,3,3,3,1,837
883,35,3,1,9,3,10,23,27,7,1,3,2,1559
982,57,3,3,2,3,3,28,13,2,3,3,2,4398
354,66,1,6,1,4,2,5,16,5,5,3,1,7578
883,52,3,7,6,4,6,4,16,6,7,4,2,1900
354,61,3,4,10,5,10,1,10,1,4,1,1,6222
982,52,3,4,5,7,5,3,21,4,5,1,2,4813
552,47,1,7,4,3,5,10,4,1,3,3,2,510
712,49,1,6,5,6,5,14,11,4,6,4,1,1364
354,64,2,5,6,4,6,6,22,2,2,4,2,6449
543,52,1,1,12,4,1,24,13,3,2,3,2,2927
354,30,3,5,2,1,2,3,26,7,4,2,2,6771
982,39,4,6,6,3,6,18,26,1,7,1,1,4349
543,32,3,3,6,5,7,16,24,6,3,1,2,2100
712,68,1,4,12,3,1,27,16,2,2,1,1,1011
267,44,1,7,4,4,4,4,17,5,5,2,2,5997
267,49,3,5,9,3,9,5,27,1,1,2,2,5443
267,51,4,4,1,7,1,10,20,7,6,4,2,5596
543,60,1,7,9,7,9,21,25,4,6,3,1,2860
552,37,4,6,5,1,5,2,15,7,3,3,1,975
543,52,2,4,4,2,4,12,29,5,5,4,1,2285
552,50,2,6,8,3,8,4,20,5,6,1,1,537
267,33,4,4,9,6,10,9,29,3,5,3,2,5411
982,20,3,3,2,2,2,13,30,5,2,3,1,4209
362,61,1,4,2,6,3,23,4,2,3,3,2,2140
